category,split,defect_type,label,sample_position,sample_id,processed_depth_path,processed_mask_path,mask_path,crop_top,crop_bottom,crop_left,crop_right,classical_patch_count,classical_image_score,classical_heatmap_path,classical_figure_path,classical_ground_truth_pixel_count,autoencoder_patch_count,autoencoder_image_score,autoencoder_heatmap_path,autoencoder_figure_path,autoencoder_ground_truth_pixel_count,ground_truth_pixel_count,comparison_figure_path
bagel,test,good,0,0,0,data/processed/bagel/test/good/000_depth.npy,data/processed/bagel/test/good/000_mask.npy,data/raw/bagel/test/good/gt/000.png,117.0,673.0,117.0,697.0,222,15.42479419708252,outputs/metrics/classical_heatmaps/test/bagel/good/0_heatmap.npy,fig/04_classical/test_heatmaps/bagel/good/0_heatmap.png,0,222,0.0107882963493466,outputs/metrics/autoencoder_heatmaps/test/bagel/good/0_heatmap.npy,fig/05_autoencoder/test_heatmaps/bagel/good/0_heatmap.png,0,0,
bagel,test,good,0,1,1,data/processed/bagel/test/good/001_depth.npy,data/processed/bagel/test/good/001_mask.npy,data/raw/bagel/test/good/gt/001.png,110.0,672.0,103.0,703.0,216,48.57928466796875,outputs/metrics/classical_heatmaps/test/bagel/good/1_heatmap.npy,,0,216,0.0134126273915171,outputs/metrics/autoencoder_heatmaps/test/bagel/good/1_heatmap.npy,,0,0,
bagel,test,good,0,2,2,data/processed/bagel/test/good/002_depth.npy,data/processed/bagel/test/good/002_mask.npy,data/raw/bagel/test/good/gt/002.png,120.0,691.0,127.0,708.0,221,7.675290584564209,outputs/metrics/classical_heatmaps/test/bagel/good/2_heatmap.npy,,0,221,0.0104641923680901,outputs/metrics/autoencoder_heatmaps/test/bagel/good/2_heatmap.npy,,0,0,
bagel,test,good,0,3,3,data/processed/bagel/test/good/003_depth.npy,data/processed/bagel/test/good/003_mask.npy,data/raw/bagel/test/good/gt/003.png,121.0,702.0,104.0,689.0,224,25.925687789916992,outputs/metrics/classical_heatmaps/test/bagel/good/3_heatmap.npy,,0,224,0.0145236253738403,outputs/metrics/autoencoder_heatmaps/test/bagel/good/3_heatmap.npy,,0,0,
bagel,test,good,0,4,4,data/processed/bagel/test/good/004_depth.npy,data/processed/bagel/test/good/004_mask.npy,data/raw/bagel/test/good/gt/004.png,120.0,667.0,87.0,682.0,220,15.702432632446287,outputs/metrics/classical_heatmaps/test/bagel/good/4_heatmap.npy,,0,220,0.0136024886742234,outputs/metrics/autoencoder_heatmaps/test/bagel/good/4_heatmap.npy,,0,0,
bagel,test,good,0,5,5,data/processed/bagel/test/good/005_depth.npy,data/processed/bagel/test/good/005_mask.npy,data/raw/bagel/test/good/gt/005.png,101.0,655.0,105.0,687.0,220,-0.9421080946922302,outputs/metrics/classical_heatmaps/test/bagel/good/5_heatmap.npy,,0,220,0.0122057115659117,outputs/metrics/autoencoder_heatmaps/test/bagel/good/5_heatmap.npy,,0,0,
bagel,test,good,0,6,6,data/processed/bagel/test/good/006_depth.npy,data/processed/bagel/test/good/006_mask.npy,data/raw/bagel/test/good/gt/006.png,114.0,675.0,101.0,671.0,222,13.038097381591797,outputs/metrics/classical_heatmaps/test/bagel/good/6_heatmap.npy,,0,222,0.0134184947237372,outputs/metrics/autoencoder_heatmaps/test/bagel/good/6_heatmap.npy,,0,0,
bagel,test,good,0,7,7,data/processed/bagel/test/good/007_depth.npy,data/processed/bagel/test/good/007_mask.npy,data/raw/bagel/test/good/gt/007.png,100.0,686.0,91.0,704.0,223,7.150442123413086,outputs/metrics/classical_heatmaps/test/bagel/good/7_heatmap.npy,,0,223,0.0108826300129294,outputs/metrics/autoencoder_heatmaps/test/bagel/good/7_heatmap.npy,,0,0,
bagel,test,good,0,8,8,data/processed/bagel/test/good/008_depth.npy,data/processed/bagel/test/good/008_mask.npy,data/raw/bagel/test/good/gt/008.png,104.0,677.0,91.0,690.0,221,7.426093578338623,outputs/metrics/classical_heatmaps/test/bagel/good/8_heatmap.npy,,0,221,0.0122249564155936,outputs/metrics/autoencoder_heatmaps/test/bagel/good/8_heatmap.npy,,0,0,
bagel,test,good,0,9,9,data/processed/bagel/test/good/009_depth.npy,data/processed/bagel/test/good/009_mask.npy,data/raw/bagel/test/good/gt/009.png,106.0,689.0,105.0,692.0,222,11.855406761169434,outputs/metrics/classical_heatmaps/test/bagel/good/9_heatmap.npy,,0,222,0.0107565531507134,outputs/metrics/autoencoder_heatmaps/test/bagel/good/9_heatmap.npy,,0,0,
